Number of nodes 366 
    60 :     73    347      9
    61 :    324    337    248
    62 :     85    253     84
    63 :     84    256     83
    64 :    256    277     83
    65 :     88    250     12
    66 :    253    256     84
    67 :    215    289    280
    68 :    212    326    307
    69 :    309    325     43
    70 :    187    341     21
    71 :     20    334    184
    72 :    315    317     96
    73 :     95    316    314
    74 :     97    315     96
    75 :    246    284     49
    76 :     95    314     94
    77 :    226    278    271
    78 :     43    325     42
    79 :    329    339     80
    80 :    241    330    259
    81 :    258    330    241
    82 :    307    326    244
    83 :     80    339     79
    84 :    246    361    243
    85 :    165    322    318
    86 :    170    284    246
    87 :    280    289    237
    88 :    313    315     97
    89 :     98    313     97
    90 :    325    332     42
    91 :     94    314    312
    92 :     94    312     93
    93 :    271    278    236
    94 :    318    322    239
    95 :    339    349     79
    96 :     42    332     41
    97 :    110    365     31
    98 :    241    259     18
    99 :    173    251    172
   100 :     79    349     78
   101 :     99    311     98
   102 :    172    251    247
   103 :    187    364     13
   104 :     32    341     13
   105 :    218    269    257
   106 :    311    313     98
   107 :     93    310     92
   108 :     50    246     49
   109 :    211    245    210
   110 :     55    294     54
   111 :    220    264    231
   112 :    167    244    166
   113 :    214    239    213
   114 :    228    238    227
   115 :     93    312    310
   116 :     87    233     11
   117 :    150    240     18
   118 :     87    250    233
   119 :    164    237    163
   120 :    217    235    216
   121 :    169    243     19
   122 :    225    234    224
   123 :    210    249     22
   124 :    153    236    152
   125 :    173    254    251
   126 :     12    250     87
   127 :    220    231    219
   128 :    161    232    160
   129 :    174    254    173
   130 :    265    268    154
   131 :     56    290     55
   132 :    156    230    155
   133 :    158    229    157
   134 :    157    252    156
   135 :    156    252    230
   136 :    229    252    157
   137 :    240    241     18
   138 :    119    248     15
   139 :     51    242      5
   140 :    257    269    232
   141 :    290    294     55
   142 :    172    247    171
   143 :     57    288     56
   144 :    100    308     99
   145 :    159    267    255
   146 :    273    338     72
   147 :    120    253    119
   148 :    245    249    210
   149 :    215    280    214
   150 :    349    362     78
   151 :    217    257    235
   152 :     37    358     36
   153 :    159    255    158
   154 :    227    278    226
   155 :    234    263    224
   156 :    212    307    211
   157 :     58    283     57
   158 :    288    290     56
   159 :    231    264    255
   160 :    308    311     99
   161 :    155    265    154
   162 :    161    266    232
   163 :    132    338    273
   164 :    232    267    160
   165 :    153    268    236
   166 :    131    270     74
   167 :    119    253    248
   168 :     92    303     91
   169 :     78    362     77
   170 :    219    269    218
   171 :    234    268    265
   172 :    226    271    225
   173 :    255    267    231
   174 :    283    288     57
   175 :    273    347     17
   176 :     59    282     58
   177 :     21    341     33
   178 :    237    287    163
   179 :    166    322    165
   180 :      9    273     72
   181 :    158    255    229
   182 :     54    259      8
   183 :    120    256    253
   184 :    171    284    170
   185 :    121    256    120
   186 :    221    264    220
   187 :    249    343    337
   188 :    216    289    215
   189 :    150    300    240
   190 :    222    261    221
   191 :    232    269    267
   192 :    175    262    174
   193 :    282    283     58
   194 :    218    257    217
   195 :    223    260    222
   196 :     60    281     59
   197 :     92    310    303
   198 :    236    292    152
   199 :     19    306    228
   200 :    101    305    100
   201 :    261    264    221
   202 :    232    266    257
   203 :     38    359    182
   204 :    240    360    241
   205 :    234    265    263
   206 :    242    258      5
   207 :    257    266    235
   208 :    260    261    222
   209 :    162    266    161
   210 :    252    260    230
   211 :    224    263    223
   212 :    281    282     59
   213 :    164    318    237
   214 :     61    275     60
   215 :    229    261    252
   216 :    230    265    155
   217 :    174    262    254
   218 :    252    261    260
   219 :    229    264    261
   220 :    260    263    230
   221 :    160    267    159
   222 :    337    343     15
   223 :    223    263    260
   224 :    241    272    258
   225 :    154    268    153
   226 :    305    308    100
   227 :     62    274     61
   228 :    275    281     60
   229 :    181    359    351
   230 :    181    351    180
   231 :    231    269    219
   232 :     91    297     90
   233 :    243    272     19
   234 :    121    277    256
   235 :    237    289    287
   236 :    268    271    236
   237 :     23    363    118
   238 :    167    336    244
   239 :    266    287    235
   240 :    225    271    234
   241 :    274    275     61
   242 :    162    287    266
   243 :    238    278    227
   244 :    122    277    121
   245 :    180    342    179
   246 :    143    274    142
   247 :    142    276    141
