Size 5075 
 1.0224113e+08 1.0297056e+08-0.0000000e+00-0.0000000e+00 2.3982296e+08
 1.0257384e+08 1.0162022e+08-0.0000000e+00-0.0000000e+00 2.3957553e+08
 1.0227708e+08 1.0307594e+08-2.2379705e-04-2.2379705e-04 2.3998833e+08
 1.0232606e+08 1.0292341e+08-0.0000000e+00-0.0000000e+00 2.4002259e+08
 1.0291749e+08 1.0192303e+08-2.3494181e-04-2.3494181e-04 2.4031304e+08
 1.0301728e+08 1.0209175e+08-0.0000000e+00-0.0000000e+00 2.4067260e+08
 1.0321456e+08 1.0226670e+08-2.3158492e-04-2.3158492e-04 2.4108829e+08
 1.0320479e+08 1.0225518e+08-2.2929424e-04-2.2929424e-04 2.4108642e+08
 1.0328855e+08 1.0229436e+08-0.0000000e+00-0.0000000e+00 2.4112237e+08
 1.0385637e+08 1.0385875e+08-0.0000000e+00-0.0000000e+00 2.4176264e+08
 1.0349422e+08 1.0348260e+08-0.0000000e+00-0.0000000e+00 2.4155592e+08
 1.0327615e+08 1.0231350e+08-2.2628738e-04-2.2628738e-04 2.4122043e+08
 1.0331837e+08 1.0233326e+08-2.2393167e-04-2.2393167e-04 2.4131227e+08
 1.0311808e+08 1.0384648e+08-0.0000000e+00-0.0000000e+00 2.4178651e+08
 1.0317843e+08 1.0368841e+08-0.0000000e+00-0.0000000e+00 2.4183919e+08
 1.0321352e+08 1.0347016e+08-2.5614884e-04-2.5614884e-04 2.4185403e+08
 1.0332835e+08 1.0353071e+08-0.0000000e+00-0.0000000e+00 2.4200112e+08
 1.0341733e+08 1.0329459e+08-0.0000000e+00-0.0000000e+00 2.4203053e+08
 1.0349345e+08 1.0337027e+08-1.4570288e-04-1.4570288e-04 2.4216637e+08
 1.0386603e+08 1.0341912e+08-0.0000000e+00-0.0000000e+00 2.4281965e+08
 1.0415453e+08 1.0374573e+08-0.0000000e+00-0.0000000e+00 2.4351510e+08
 1.0454116e+08 1.0385558e+08-0.0000000e+00-0.0000000e+00 2.4422130e+08
 1.0470965e+08 1.0407645e+08-0.0000000e+00-0.0000000e+00 2.4466722e+08
 1.0495632e+08 1.0410352e+08-3.3582593e-04-3.3582593e-04 2.4508272e+08
 1.0519388e+08 1.0439336e+08-3.4147227e-04-3.4147227e-04 2.4569864e+08
 1.0527256e+08 1.0430500e+08-3.4636450e-04-3.4636450e-04 2.4575718e+08
 1.0528773e+08 1.0436652e+08-1.7515933e-04-1.7515933e-04 2.4585211e+08
 1.0535675e+08 1.0431238e+08-0.0000000e+00-0.0000000e+00 2.4591885e+08
 1.0503617e+08 1.0403249e+08-3.5600158e-04-3.5600158e-04 2.4522655e+08
 1.0487449e+08 1.0378070e+08-3.5775953e-04-3.5775953e-04 2.4477582e+08
